# Discovered Bitaxe devices
192.168.1.157
192.168.1.160
192.168.1.189
192.168.1.191
192.168.1.233
192.168.1.234
192.168.1.245
192.168.1.44
192.168.1.45
192.168.1.52
192.168.1.55
192.168.1.57
